***SETTINGS***
{
  "participant_id" : "neo1",
  "date" : "2018-02-18-16"
}
---SETTINGS---
Time; Action
58189.788;New trial
58198.171;Wrong door
58202.138;Wrong door
58205.206;Wrong door
58214.788;Wrong door
58218.272;Wrong door
58222.022;Wrong door
58224.755;Wrong door
58229.806;Finish trial
58229.806;New trial
58242.906;Wrong door
58245.106;Wrong door
58249.090;Wrong door
58253.623;Wrong door
58259.340;Wrong door
58262.374;Wrong door
58271.957;Wrong door
58279.158;Wrong door
58283.608;Wrong door
58285.242;Wrong door
58287.491;Wrong door
58289.525;Wrong door
58291.925;Wrong door
58308.759;Wrong door
58311.810;Wrong door
58319.909;Finish trial
58319.910;New trial
58324.176;Wrong door
58330.676;Wrong door
58336.010;Wrong door
58339.610;Wrong door
58342.494;Wrong door
58353.844;Finish trial
58353.845;New trial
58361.028;Wrong door
58364.645;Wrong door
58397.813;Wrong door
58400.746;Wrong door
58403.263;Wrong door
58409.097;Wrong door
58410.746;Wrong door
58414.380;Wrong door
58419.115;Wrong door
58427.414;Wrong door
58431.047;Wrong door
58439.897;Finish trial
58439.898;New trial
58451.866;Wrong door
58452.850;Wrong door
58458.869;Wrong door
58460.802;Finish trial
58460.803;New trial
58467.737;Wrong door
58469.155;Wrong door
58471.371;Wrong door
58479.488;Wrong door
58483.803;Wrong door
58484.872;Wrong door
58494.873;Wrong door
58498.740;Wrong door
58504.957;Wrong door
58506.490;Wrong door
58516.177;Wrong door
58516.475;Wrong door
58523.224;Wrong door
58529.424;Wrong door
58535.775;Finish trial
58535.775;New trial
58544.492;Wrong door
58548.042;Wrong door
58557.392;Wrong door
58560.676;Wrong door
58564.776;Wrong door
58569.474;Wrong door
58572.493;Wrong door
58577.010;Wrong door
58579.527;Wrong door
58583.360;Wrong door
58595.361;Wrong door
58604.811;Wrong door
58612.761;Wrong door
58617.313;Wrong door
58620.062;Finish trial
58620.062;New trial
58641.012;Wrong door
58645.346;Wrong door
58656.847;Wrong door
58666.347;Wrong door
58688.148;Finish trial
58688.148;New trial
58722.599;Finish trial
58722.600;New trial
58741.420;Wrong door
58744.750;Wrong door
58746.583;Wrong door
58748.717;Wrong door
58750.283;Wrong door
58764.418;Wrong door
58773.051;Wrong door
58790.418;Wrong door
58794.368;Wrong door
58798.119;Finish trial
58798.119;New trial
58810.554;Wrong door
58824.154;Wrong door
58826.787;Wrong door
58837.437;Wrong door
58844.737;Wrong door
58848.271;Wrong door
58850.138;Wrong door
58852.138;Wrong door
58853.405;Wrong door
58872.905;Wrong door
58887.672;Wrong door
58890.573;Wrong door
58892.756;Wrong door
58900.840;Finish trial
58900.840;New trial
58906.824;Wrong door
58908.673;Wrong door
58918.657;Wrong door
58927.641;Wrong door
58948.642;Wrong door
58964.774;Wrong door
58974.459;Wrong door
58990.527;Finish trial
58990.528;New trial
59011.161;Finish trial
59011.161;New trial
59027.428;Finish trial
59027.429;New trial
59053.329;Finish trial
59053.330;New trial
59069.897;Wrong door
59077.745;Wrong door
59098.490;Wrong door
59115.161;Wrong door
59119.311;Wrong door
59121.028;Wrong door
59144.797;Wrong door
59148.914;Wrong door
59150.431;Wrong door
59159.915;Wrong door
59161.531;Wrong door
59174.348;Finish trial
59174.349;New trial
59180.349;Wrong door
59186.283;Wrong door
59193.116;Finish trial
59193.117;New trial
59217.052;Wrong door
59232.570;Wrong door
59236.820;Wrong door
59239.139;Finish trial
59264.222;SOP new view
59274.455;Calibrate
59293.070;Should point
59300.740;Should point
59306.006;Should point
59313.890;Should point
59318.357;Should point
59324.474;Should point
59343.509;Finish trial
59343.509;SOP new view
59344.225;Calibrate
59350.708;Should point
59354.858;Should point
59360.009;Should point
59364.209;Should point
59369.109;Should point
59375.826;Should point
